Company Name,Summary
Hydro-Québec,"Hydro-Québec is a public utility that manages the generation, transmission and distribution of electricity in the Canadian province of Quebec, as well as the export of power to portions of the Northeast United States.
It was established by the Government of Quebec in 1944 from the expropriation of p"
IGM Financial,"Power Corporation of Canada (French: Power Corporation du Canada) is a management and holding company that focuses on financial services in North America, Europe and Asia. Its core holdings are insurance, retirement, wealth management and investment management, including a portfolio of alternative i"
IL Therapeutics,"IL Therapeutics Inc. was previously owned by Western Life Sciences Venture Fund LP
(""Western Life Sciences"") and in 2006 its shares were purchased by Pacgen Biopharmaceuticals Corporation (""Pacgen"")."
IMAX Corporation,"IMAX Corporation is a Canadian theatre company which designs and manufactures IMAX cameras and projection systems as well as performing film development, production, post-production and distribution to IMAX-affiliated theatres worldwide. Founded in Montreal in 1967, it has headquarters in the Toront"
Immersive Media,"Immersive Media Company (IMC) is a digital imaging company specializing in spherical immersive video.  The parent company Immersive Ventures is headquartered in Kelowna, British Columbia with Immersive Media Company offices in Dallas, Texas."
ImmersiVision,"ImmersiVision Interactive Technologies Inc. is a Whistler, British Columbia, Canada based company, founded in early 2004, whose primarily revenue source was the production of immersive virtual reality.  The product is similar to Google Streetview. The Immersive media is a mixture of both indoor and "
Imperial Oil,Imperial Oil Limited (French: Compagnie Pétrolière Impériale Ltée) is a Canadian petroleum company. It is Canada's second-biggest integrated oil company.It is majority owned by American oil company ExxonMobil with around 69.6 percent ownership stake in the company. It is a significant producer of cr
Indigo Books and Music,"Indigo Books & Music Inc., known as ""Indigo"" and stylized ""!ndigo"", is a Canadian bookstore chain. It is Canada's largest book, gift, and specialty toy retailer, operating stores in all ten provinces and one territory, and through a website offering a selection of books, toys, home décor, stationery"
Information Services Corporation,"Information Services Corporation (ISC) is a publicly traded Saskatchewan business corporation responsible for the development, management and administration of: registries – land titles, personal property, corporate and survey registries; geographic information; and access to government services for"
Ingle International,"Ingle International is a Canadian insurance group of companies based in Toronto, with offices around the world. Ingle International provides travel health insurance products to various types travellers, including international students, snowbirds, expatriates, and high risk travellers."
Innovation Place Research Park,"Innovation Place is the registered business name of the Saskatchewan Opportunities Corporation (SOCO), a crown corporation in Saskatchewan. SOCO operates two research parks: one located near the University of Saskatchewan in Saskatoon, Saskatchewan, and the second near the University of Regina in Re"
Intelligent Creatures,"Intelligent Creatures (IC) is a motion picture visual effects company located in Toronto, Ontario, Canada."
Inter Pipeline,"Inter Pipeline Ltd. is a  multinational petroleum (oil, natural gas and petrochemical products)
transportation and infrastructure limited partnership that is ranked among North America's leading natural gas and NGL's extraction businesses (from its liquids (NGL's) counterpart). It is one of Alberta'"
Interchill Records,"Interchill Records is a Canadian independent record label specializing in downtempo/electronica music.  Founded in Montreal, Quebec in 1995 by Andrew Ross Collins, Interchill got its start in the multi-sensory chill rooms of the early rave scene in Montreal. Originally launched to showcase and expor"
International Road Dynamics,"International Road Dynamics Inc. is a road traffic management system engineering company headquartered in Saskatoon, Saskatchewan, Canada. Its services include automated toll roads, commercial vehicle inspection systems, traffic data collection products, and traffic management software.
IRD provides"
Intertape Polymer Group,"Intertape Polymer Group Inc. (TSX: ITP) is a packaging products and systems company which supplies retailers and manufacturers, based in Montreal and Sarasota, Florida, with 17 locations, 12 manufacturing locations in North America and one in Europe, and 2000 employees. Products include paper-based "
Investment Saskatchewan,"Investment Saskatchewan Inc. is a Crown corporation owned by the Government of Saskatchewan that invests in Saskatchewan companies.  Investments are a minimum of $3M CDN. The investments are managed through a private sector venture capital investment company called Victoria Park Capital Inc.


== Re"
Ironclad Games,"Ironclad Games is a Canadian PC game developer. The company was founded in 2003 by former employees of Rockstar Vancouver. Ironclad is located in Burnaby, British Columbia."
Irving Oil,"Irving Oil Ltd. is a Canadian gasoline, oil, and natural gas producing and exporting company. Considered part of the Irving Group of Companies, it was founded by entrepreneur Kenneth ""K.C."" Irving and is privately owned by his son, Arthur, and his family.
Irving Oil operates Canada's largest refiner"
Island Timberlands,"Island Timberlands LP, a private timberlands business in British Columbia, Canada, was created in 2005 by the purchase of lands from Weyerhaeuser's coastal BC timber estate, which had originally been purchased in 1999 from MacMillan Bloedel. The private managed forest lands comprise approximately 25"
Jackson Grills,"Jackson Grills, founded in 1999, is based out of Abbotsford, British Columbia.  It is best known for being a specialty manufacturer of quality barbecues, fire features and outdoor kitchen accessories.  Jackson Grills carries three lines of specialty grills, ranging in size from small portable grills"
Jazz,"Jazz is a music genre that originated in the African-American communities of New Orleans, Louisiana in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music,"
Jean Coutu Group,"The Jean Coutu Group (PJC) Inc. is a Canadian drugstore chain headquartered in Varennes, Quebec. It has more than 400 franchised locations in New Brunswick, Ontario and Quebec under the PJC Jean Coutu, PJC Clinique, and PJC Santé banners.  The company was once the third largest distributor and retai"
Jim Pattison Group,"The Jim Pattison Group is a Canadian conglomerate based in Vancouver. In a recent survey by the Financial Post, the firm was ranked as Canada's 62nd largest company. Jim Pattison, a Vancouver-based entrepreneur, is the chairman, CEO, and sole owner of the company. The Jim Pattison Group, Canada's se"
Joker's Closet,"Joker's Closet is an online shoe retailing company in Toronto, Canada. Customers can choose the colors they want for its ready-made designs."
K+S Windsor Salt,"Windsor Salt is a salt mining, processing, and distribution company based in Pointe-Claire, Quebec, Canada. It operates salt mines in Pugwash, Nova Scotia (the Windsor Salt Pugwash Mine) and Windsor, Ontario (the Windsor salt mine). From the salt it mines and produces through evaporative processes, "
Kal Tire,"Kal Tire is a wholly owned Canadian company based in Vernon, British Columbia, where it was founded in 1953 by Thomas J. Foord  and Jim Lochhead.  Its business comprises retail tire sales for passenger and light truck vehicles, mechanical services for passenger and light trucks, commercial truck tir"
Katz Group of Companies,"The Katz Group of Companies is a Canadian privately-owned enterprise, with operations in sports and entertainment and real estate development. Oilers Entertainment Group (OEG), a subsidiary of the Katz Group, owns the National Hockey League five-time Stanley Cup Champion Edmonton Oilers, as well as "
KF Aerospace,"KF Aerospace is an approved maintenance organization (AMO) which operates two maintenance, repair and overhaul (MRO) facilities in Canada, one at Kelowna International Airport in British Columbia and the other at Hamilton International Airport in Ontario. It is the parent company of KF Cargo, which "
KF Cargo,"Kelowna Flightcraft Air Charter trading as KF Cargo and Kelowna Flightcraft trading as KF Maintenance and Engineering is a cargo airline based in Kelowna, British Columbia, Canada. It operates long term cargo charters for couriers and freight companies, forest fire patrols, and aircraft sales and le"
Kinaxis,"Kinaxis is a supply chain management and sales and operation planning software company based in the Kanata district of Ottawa, Ontario, Canada. It is listed on the Toronto Stock Exchange and is a S&P/TSX Composite Component.
The company was founded in 1984 by Duncan Klett and two others as Cadence C"
Kinross Gold,"Kinross Gold Corporation is a Canadian-based gold and silver mining company founded in 1993 and headquartered in Toronto, Ontario, Canada. Kinross currently operates seven active gold mines, and was ranked fifth of the ""10 Top Gold-mining Companies"" of 2019 by InvestingNews. The company's mines are "
Kitchen Craft,"Kitchen Craft is a Canadian company that manufactures cabinetwork for kitchens and bathrooms.
Established in 1972 and headquartered in Winnipeg, Manitoba, Canada, the company employs approximately 1300 people in Winnipeg alone, making it one of the largest employers in the city. Kitchen Craft retail"
KMS Tools,"KMS Tools & Equipment is an industrial distributor that carries a huge selection of tools, from high quality heavy-duty professional tools to value-priced occasional use tools. KMS is a Canadian retailer of power tools, woodworking, metalworking, construction equipment and C.A.R parts (which stands "
Knowledge Network,"Knowledge Network, also branded as British Columbia's Knowledge Network, is a Canadian publicly funded educational cable television network serving the province of British Columbia. It is owned by the Knowledge Network Corporation, a Crown corporation of the Government of British Columbia, and began"
Kobo Inc.,"Rakuten Kobo Inc., or simply Kobo, is a Canadian company that sells ebooks, audiobooks, ereaders and tablet computers. It is headquartered in Toronto, Ontario, and is a subsidiary of the Japanese ecommerce conglomerate Rakuten. The name Kobo is an anagram of book."
Koingo Software,"Koingo Software, established in 1994, is a Canadian corporation that designs and distributes software for both Macintosh and Windows. Presently, the business develops a mix of 8 shareware and freeware applications, most of which are available for the Macintosh and Windows.
Except for a few games in "
Kootenay Direct Airlines,"Kootenay Direct Airlines Ltd. was an airline based in Nelson, British Columbia, Canada. It operated charter services to destinations in British Columbia, Canada and the United States. Its main base was in Nelson, British Columbia."
Kruger Inc.,"Kruger Inc. is a Canadian corporation which manufactures publication papers, tissue, lumber and other wood products, corrugated cartons from recycled fibres, green and renewable energy, and wines and spirits. Kruger Inc. operates facilities in Québec, Ontario, British Columbia, Newfoundland and Labr"
L'Oie de Cravan,"L’Oie de Cravan (translated The Goose of Cravan) is a Canadian publishing house based in Montreal, Quebec that specializes in poetry. It was founded in January 1992 by  poet and writer Benoît Chaput. The name is seen as a tribute to the poet-boxer Arthur Cravan.
The poets published by L’Oie de Crava"
La Capitale,"La Capitale is a Belgian daily regional newspaper, specializing in the region around Brussels and published in French. It is part of the Sud Presse group. The paper is published by Rossel & CIE S.A.  and is based in Brussels."
La Maison Simons,"La Maison Simons, commonly known as Simons, is a fashion retailer in Canada, headquartered in Quebec City, Quebec. It is a family business currently operated by Richard and Peter Simons. The business was established in 1840 by the son of a Scottish immigrant to Quebec as a dry goods store. In the 19"
Labatt Brewing Company,"Labatt Brewing Company Limited (French: La Brasserie Labatt Limitée) is a Belgian-owned brewery headquartered in Toronto, Ontario, Canada. Founded in 1847, Labatt is the largest brewer in Canada.In 1995, it was purchased by Belgian brewer Interbrew. In 2004, Interbrew merged with Brazilian brewer Am"
LASIK MD,"LASIK MD is a North America provider of laser vision correction and the largest provider of laser vision correction in North America based on procedure volume. As of 2013, LASIK MD performs over sixty percent of all laser vision correction procedures in Canada.LASIK MD was founded in 2001 by Dr. Mar"
Lassonde Industries,"Lassonde Industries Inc. is a Canadian agri-food company located in Rougemont and Montérégie, with operations throughout North America."
Laurentian Bank of Canada,"The Laurentian Bank of Canada (LBC) (French: Banque Laurentienne du Canada) is a Schedule 1 bank that operates primarily in the province of Quebec, with commercial and business banking offices located in Ontario, Alberta, British Columbia, and Nova Scotia. LBC's Institution Number (or routing number"
Le Château,"Le Château Inc. was a fashion company, currently under liquidation, that was founded in 1959 in Montreal, Quebec, Canada and designed, imported and retailed women's and men's apparel, accessories and footwear. In 2015, the company generated sales of about CA$237 million. The company sold directly to"
Lee Valley Tools,Lee Valley Tools Ltd. is a Canadian business specializing in tools and gifts for woodworking and gardening.
Léger Marketing,"Léger is the largest Canadian-owned market research and analytics company, with more than 600 employees in eight Canadian and US offices. The company was founded in 1986 by the father and son duo Marcel Léger, former environment minister of Quebec, and Jean-Marc Léger, economist. Previously, the com"
Leon's,"Leon's Furniture Ltd. (TSX: LNF) (Meubles Léon Limité in Quebec) is a Canadian furniture retailer which first opened its store in 1909 in Welland, Ontario. The controlling interest in the company is owned by the Leon family, while some shares are traded publicly on the Toronto Stock Exchange. The co"
Linamar,"Linamar Corporation is an advanced manufacturing company where the intersection of leading-edge technology and deep manufacturing expertise is creating solutions that power vehicles, motion, work and lives for the future. The Company is made up of two operating segments – the Industrial segment and "
Lise Watier,"Lise Watier is a Canadian prestige cosmetic company and brand, launched in 1972 by Madame Lise Watier, and distributed through department and select drugstores."
Livingston International,"Livingston International is a North American provider of customs brokerage services. Livingston International provides customs brokerage, trade consulting and international freight forwarding services to importers and exporters throughout North America and around the globe. Headquartered in Toronto,"
Loblaws,"Loblaws Inc. is a Canadian supermarket chain with stores located in the provinces of Alberta, British Columbia, Manitoba, Ontario, Quebec and Saskatchewan. Headquartered in Brampton, Ontario, Loblaws is a subsidiary of Loblaw Companies Limited, Canada's largest food distributor."
LoginRadius,"LoginRadius Inc. is a cloud-based SaaS Consumer Identity and Access Management platform based in San Francisco, California, USA. It was established in 2012.
The company was ranked as an Overall Leader by KuppingerCole analyst firm in the KuppingerCole Report Leadership Compass, 2020."
London Drugs,"London Drugs Limited is a Canadian retail pharmacy chain based in Richmond, British Columbia. As of June 2021, the chain has 78 stores in the provinces of British Columbia, Alberta, Saskatchewan, and Manitoba. In addition to pharmacy services, London Drugs locations also sell electronics, housewares"
London Life Insurance Company,"The Canada Life Assurance Company, commonly known as Canada Life, is an insurance and financial services company with its headquarters in Winnipeg, Manitoba. The current company is the result of the 2020 amalgamation of The Great-West Life Assurance Company, London Life Insurance Company and The Can"
Long & McQuade,Long & McQuade is the largest chain of musical instrument retailers in Canada.
Look Communications,"Look Communications (NEX: LOK.H) was a telecommunication company that has been in liquidation from November 2009. It was a digital wireless cable, internet service, and web hosting provider. It was once linked to former crown corporation Teleglobe and Chinese ISP Inter Pacific Online.
Founded in 199"
Lululemon Athletica,"lululemon athletica (; styled in all lowercase) is a Canadian athletic apparel retailer headquartered in Vancouver. It was founded in 1998 as a retailer of yoga pants and other yoga wear, and has expanded to also sell athletic wear, lifestyle apparel, accessories, and personal care products. The com"
LW Stores,"LW Stores, Inc. was a retailer that liquidated consumer merchandise through 94 outlets across Canada and three in the United States. The retailer also provided store-closure sales management and solved asset recovery problems in a professional manner for the financial services industry, insurance co"
Lystek,"Lystek International is a Canadian waste treatment technology company founded in 2000 at the University of Waterloo, Ontario, Canada to commercialize treatment technologies for biosolids and other non-hazardous, organic waste materials. Lystek is headquartered in Cambridge, Ontario, Canada and is ow"
MacDonald Dettwiler and Associates,"MDA Ltd. is a Canadian space technology company headquartered in Brampton, Ontario, Canada, that provides geointelligence, robotics & space operations, and satellite systems."
Mac's Convenience Stores,"Mac's Convenience Stores (commonly known as Mac's) is a chain of convenience stores in Canada. The company was divided into three geographic business units: eastern Canada, central Canada, and western Canada. It had been owned and operated by Alimentation Couche-Tard since 1999. Since 2017, it serve"
Manitoba Hydro,"The Manitoba Hydro-Electric Board, operating as Manitoba Hydro, is the electric power and natural gas utility in the province of Manitoba, Canada. Founded in 1961, it is a provincial Crown Corporation, governed by the Manitoba Hydro-Electric Board and the Manitoba Hydro Act. Today the company operat"
Manitoba Liquor & Lotteries Corporation,"The Manitoba Liquor & Lotteries Corporation (MBLL; French: Société manitobaine des alcools et des loteries) is a crown agency of the Manitoba government responsible for providing legalized gambling (""gaming""), distributing and selling liquor, and for sourcing and distributing non-medical cannabis to"
Manitoba Liquor Control Commission,"The Manitoba Liquor Control Commission (MLCC) was a Crown corporation mandated with regulating, distributing, and selling beverage alcohol in the Canadian province of Manitoba. In 2014, the Manitoba government merged MLCC with the Manitoba Lotteries Corporation to form the Manitoba Liquor & Lotterie"
Manitoba Lotteries Corporation,"The Manitoba Lotteries Corporation (MLC) was a crown corporation that controlled and operated gambling in the Canadian province of Manitoba. It manages two casinos in Winnipeg: McPhillips Station Casino and Club Regent Casino. MLC also operated video lottery terminals, and is responsible for the dis"
Manitoba Public Insurance,"Manitoba Public Insurance Corporation (MPI; French: Société d'assurance publique du Manitoba) is the non-profit Crown corporation which administers public auto insurance, motor vehicle registration, and driver licensing in Manitoba. Established by the Government of Manitoba in 1971, it is headquarte"
Maple Leaf Foods,"Maple Leaf Foods Inc. is a Canadian consumer packaged meats company. Its head office is in Mississauga, Ontario."
Maple Leaf Sports & Entertainment,"Maple Leaf Sports & Entertainment Ltd. (MLSE) is a professional sports and commercial real estate company based in Toronto, Ontario, Canada. With assets that include franchises in four of the six major professional sports leagues in the United States and Canada, it is the largest sports and entertai"
Maritime Life,"The Maritime Life Assurance Company was a Canadian insurance company based in Halifax, Nova Scotia, Canada. It was founded in 1922 and in 2004 it became fully integrated with Manulife Financial, with the Maritime Life brand being retired. In 2004 it had 2700 employees.[1]
The Maritime Life headquart"
Mark's,"Mark's (known as L'Équipeur in Quebec) is a Canadian clothing and footwear retailer specializing in casual and industrial wear. Beginning in 1977 as Mark's Work Wearhouse in Calgary, Alberta, it evolved from an industrial accessories dealer to a men’s casual and industrial wear retailer. The company"
Mary Brown's,"Mary Brown's Chicken, simply known as Mary Brown's, is a Canadian fast food restaurant with approximately 200 locations coast-to-coast across Canada. The chain specializes in fried chicken and fried plant-based chicken substitute dinners, including sandwiches and tenders with appropriate side dishes"
Matrox,"Matrox Electronic Systems is a producer of video card components and equipment for personal computers and workstations. Based in Dorval, Quebec, Canada, it was founded in 1976 by Lorne Trottier and Branko Matić. The name is derived from ""Ma"" in Matić and ""Tro"" in Trottier."
Maxim Power,"Maxim Power Corp. (TSX: MXG) is an Independent Power Producer headquartered in Calgary, Alberta, Canada and owns and operates the H. R. Milner Plant (""M2""), a 204 MW natural-gas fired power plant near Grande Cache, Alberta. Maxim is currently increasing the capacity of M2 to approximately 300 MW and"
McCain Foods,"McCain Foods Limited is a Canadian multinational frozen food company established in 1957 in Florenceville, New Brunswick, Canada.It is the world's largest manufacturer of frozen potato products. Its major competitors are Simplot and Lamb Weston."
McClelland & Stewart,"McClelland & Stewart Limited is a Canadian publishing company. It is owned by Penguin Random House of Canada, a branch of Penguin Random House, the international book publishing division of German media giant Bertelsmann."
McDonald's Canada,"McDonald's Restaurants of Canada, Limited (French: Les Restaurants McDonald's du Canada Limitée) is the Canadian master franchise of the fast food restaurant chain McDonald's, owned by the American parent McDonald's Corporation. One of Canada's largest fast-food restaurant chains, the franchise sell"
Metal Supermarkets,"Metal Supermarkets is a provider of small quantity metals, cut to the customer's desired size, with no minimum order quantities. Primarily a franchise network, Metal Supermarkets possesses the largest network in the small quantity metals industry and the only one with international reach. Metal Supe"
Metro Inc.,"Metro Inc. is a Canadian food retailer operating in the provinces of Quebec and Ontario. The company is based in Montreal, Quebec with head office at 11011 Boulevard Maurice-Duplessis. Metro is the third largest grocer in Canada, after Loblaw Companies Limited and Sobeys.
There are 365 namesake loca"
Mitel,"Mitel Networks Corporation is a Canadian telecommunications company. The company previously produced TDM PBX systems and applications, but after a change in ownership in 2001, now focuses almost entirely on Voice-over-IP (VoIP) products. Mitel is headquartered in Ottawa, Ontario, Canada, with office"
MNP LLP,"MNP (previously known as Meyers Norris Penny) is one of the largest full-service chartered professional accountancy and business advisory firms in Canada. MNP's head office is in Calgary, Alberta, and has offices from Vancouver Island to St. John's. MNP's 117 offices span across 9 out of 13 Province"
Mobilicity,"Data and Audio-Visual Enterprises Wireless, d/b/a Mobilicity, was a Canadian mobile virtual network operator (MVNO) owned by Rogers Communications. Its name was a portmanteau of the words ""mobility"" and ""simplicity"". Mobilicity was one of several new mobile network operators, along with Public Mobil"
Molson Brewery,"The Molson Brewery is a Canadian brewery and beer company based in Montreal formed in 1786 by the Molson family. In 2005, Molson merged with the Adolph Coors Company to become Molson Coors.Molson Coors maintains some of its Canadian operations at the site of Molson's first brewery located on the Sai"
Montana's BBQ & Bar,"Montana's BBQ & Bar (originally and in some cases, still branded as Montana's Cookhouse Saloon) is a Canadian restaurant chain known for smoked pork ribs, steaks, and burgers. It is headquartered in Vaughan, Ontario and is a subsidiary of Recipe Unlimited."
Moosehead Breweries,"Moosehead Breweries Limited is Canada's oldest independent brewery, located in Saint John, New Brunswick. The brewery was founded in 1867 and is still privately owned and operated by the Oland family. The company is now in the sixth generation of family ownership.
In 2003, Moosehead Lager won a Gold"
Motor Coach Industries,"Motor Coach Industries (MCI) is an American multinational bus manufacturer, specializing in production of motorcoaches.  Best known for coaches produced for intercity transit and commuter buses, MCI produces coaches for a variety of applications, ranging from tour buses to prison buses.
Currently, M"
Mozilla Messaging,"Mozilla Messaging (abbreviated MoMo) was a wholly owned, for-profit subsidiary of the non-profit Mozilla Foundation.  It was broadly tasked with aspects of the Mozilla Project that focused on interpersonal communications, such as instant messaging and e-mail.  Its main focus was developing Mozilla T"
Mr. Sub,"Mr. Sub (stylized MR.SUB), originally called Mr. Submarine before the 1990s, is a Canadian chain of over 200 submarine sandwich shops. The first store was opened in 1968 in Toronto's Yorkville neighbourhood, which was then known for its ""hippie"" culture.As of 2015, Mr. Sub has seven restaurants acro"
Multiwebcast,"Multiwebcast, founded in 2000, is a Montreal, Quebec-based company which provides asynchronous webcast services for conference organizers and professional associations around the world.
Multiwebcast also operates under the legal names of E-MedHosting, Multiassessment and the Multilearning Group."
National Bank of Canada,"The National Bank of Canada (French: Banque Nationale du Canada) is the sixth largest commercial bank in Canada. It is headquartered in Montreal, and has branches in most Canadian provinces and 2.4 million personal clients. National Bank is the largest bank in Quebec, and the second largest financia"
Nature's Path,"Nature's Path Foods, commonly known as Nature's Path, is a privately held, family-owned producer of certified organic foods. Originally known for its breakfast cereals, it now has a portfolio of more than 150 products. Founded in 1985 by Arran and Ratana Stephens, Nature's Path employs approximately"
NCIX,"NCIX (formerly known as Netlink Computer Inc) was an online computer hardware and software retailer based in Richmond, British Columbia, Canada, founded in 1996 by Steve Wu (伍啟儀). The company served as an incubator for Linus Tech Tips, which was originally conceived by NCIX while Linus Sebastian was"
Nelvana,"Nelvana Enterprises, Inc. (; previously known as Nelvana Limited, sometimes known as Nelvana Animation) is a Canadian animation studio and entertainment company owned by Corus Entertainment. Founded on July 30, 1971 by Michael Hirsh, Patrick Loubert and Clive A. Smith, it was named after Nelvana of "
New Flyer Industries,"New Flyer Industries is a Canadian multinational bus manufacturer, specializing in the production of transit buses. New Flyer is owned by the NFI Group, a holding company for several bus manufacturers. New Flyer has several manufacturing facilities in Canada and the United States that produce the co"
New York Fries,"New York Fries is a Canadian quick service restaurant that mainly serves french fries, hot dogs and poutine.
There are 120 locations in Canada, as well as locations in Bahrain, China, Egypt, Macao, Oman, Panama, Qatar, Saudi Arabia, Turkey & United Arab Emirates."
Nexen,"CNOOC Petroleum North America ULC, formerly known as Nexen, is a Canadian oil and gas company based in Calgary, Alberta.
Originally the Canadian subsidiary of US-based Occidental Petroleum (known as Canadian Occidental Petroleum or CanOxy), it became an independent company, Nexen, in 2000. Nexen was"
Nexient Learning,"Nexient Learning (formerly CrossOff Incorporated of Sydney, Nova Scotia) is one of the largest corporate training providers in Canada. Nexient Learning is based in Toronto, Ontario, and is a subsidiary of Global Knowledge of Cary, North Carolina. Nexient Learning trains over 100,000 students at all "
Nordion,"Nordion Inc., a Sotera Health company, is a health science company that provides Cobalt-60 used for sterilization and treatment of disease (radiotherapy). 
Nordion is headquartered in Ottawa, Ontario, Canada, with facilities in Vancouver, British Columbia and Laval, Quebec. Kevin Brooks is the compa"
Nortel,"Nortel Networks Corporation (Nortel), formerly Northern Telecom Limited, was a Canadian multinational telecommunications and data networking equipment manufacturer headquartered in Mississauga, Ontario, Canada. It was founded in Montreal, Quebec, in 1895 as the Northern Electric and Manufacturing Co"
North West Company,"The North West Company was a fur trading business headquartered in Montreal from 1779 to 1821.  It competed with increasing success against the Hudson's Bay Company in what is present-day Western Canada and Northwestern Ontario.  With great wealth at stake, tensions between the companies increased t"
Nova Chemicals,"NOVA Chemicals Corporation is a plastics and chemical company headquartered in Calgary, Alberta, with executive offices in the Pittsburgh suburb of Moon Township, Pennsylvania and Lambton County, Ontario.
NOVA Chemicals' products are used in a wide variety of applications, including food and electro"
Nova Scotia Power,"Nova Scotia Power Inc. is a vertically integrated electric utility in Nova Scotia, Canada. It is privately owned by Emera and regulated by the provincial government via the Nova Scotia Utility and Review Board (NSUARB). Nova Scotia Power Inc provides electricity to 520,000 residential, commercial an"
Novacam Technologies,Novacam Technologies Inc. specializes in designing and manufacturing advanced metrology and imaging systems for industrial and bio-medical applications. Novacam's fiber-based optical profilometers and Optical Coherence Tomography (OCT) systems are based on low coherence interferometry. The fiber-bas
Novosbed,"GoodMorning.com (formerly Novosbed) is a Canadian eCommerce mattress and sleep product company. Their products are manufactured and sold in both the United States and Canada.Sam Prochazka co-founded GoodMorning.com in 2009 to give consumers an alternative to what he refers to as ""the ubiquitously pu"
Nuu-chah-nulth Economic Development Corporation,"The Nuu-chah-nulth Economic Development Corporation (NEDC) was incorporated in 1984 under the Canada Corporations Act as a not-for-profit organization. Although it is not tied directly to the NTC, it was formed to help the Nuu-chah-nulth people achieve economic and social independence by providing f"
Ocean Productions,"Ocean Productions, Inc., is a Canadian media production and voice acting company based in Vancouver, British Columbia, that is part of the Ocean Group of businesses. Ocean Group is involved in intellectual property acquisition and development, co-production and the creation of English versions of an"
Oland Brewery,"Oland Brewery, formerly S. Oland & Sons, is a brewing company in Halifax, Nova Scotia, Canada (established 1907), which also acquired Alexander Keith's Brewery (1928), and is now owned by Labatt Brewing Company (1971), itself a unit of InBev. Sidney Oland (gt. grandson of Sidney C. Oland) served as "
Omineca Cablevision,"Omineca Cablevision was a cable television and internet service provider in Omineca Country, near Prince George, British Columbia. The company served the communities of Vanderhoof, Fraser Lake, and Burns Lake. The company takes its name from Omineca Country and the Omineca Mountains in the area. Omi"
Onex Corporation,"Onex Corporation is an investment manager founded in 1984. The firm manages capital on behalf of Onex shareholders, institutional investors and high net worth clients around the world.  As of December 31, 2020, Onex had approximately US$44 billion of assets under management."
Ontario Lottery and Gaming Corporation,"Ontario Lottery and Gaming Corporation (French: Société des loteries et des jeux de l'Ontario), known for corporate branding purposes simply as OLG since 2006, is a Crown corporation owned by the Government of Ontario, Canada. It is responsible for the province's lotteries, charity and Aboriginal ca"
OpenText,"OpenText Corporation (also written opentext) is a Canadian company that develops and sells enterprise information management (EIM) software.OpenText, headquartered in Waterloo, Ontario, Canada, is Canada's largest software company as of 2014 and recognized as one of Canada's top 100 employers 2016 b"
Osisko Mining,The Osisko Mining Corporation (formerly Oban Mining Corporation) is a Canadian company that conducts mineral exploration work with a focus on seeking to develop a gold mine in Ontario or Quebec. The company adopted its name following the 2015 merger of five companies that resulted in the re-uniting 
Ossian Studios,Ossian Studios Inc. is a developer of role-playing games for the Neverwinter Nights and Neverwinter Nights 2 franchise of PC games.
Pacific & Western Bank of Canada,"VersaBank is a Canadian chartered bank that was founded as a trust company in Saskatoon, Saskatchewan in 1980. It later moved its head offices to London, Ontario, and on August 1, 2002, it was granted a Schedule I Canadian chartered bank licence by the Canadian federal government, the first in appro"
Pacific Coastal Airlines,"Pacific Coastal Airlines Ltd is a Canadian regional airline that operates scheduled, charter and cargo services to destinations in British Columbia. Its head office is located in the South Terminal of Vancouver International Airport in Richmond, British Columbia. Its main base is Vancouver Internati"
Packers Plus Energy Services,"Packers Plus Energy Services, Inc. is a privately held, Calgary-based oil and gas service company. The company is the innovator of StackFRAC, an open hole multi-stage ball drop completion system. Packers Plus was founded in 2000 by Dan Themig, Ken Paltzat and Peter Krabben. Ian Bryant is president a"
PainCeptor Pharma,PainCeptor Pharma is a private Canadian company focused on the development of drugs that act outside the central nervous system on nociceptors to treat pain.  The company was established in 2004 through the merger of two academic spinout firms: Antalium from McGill University and NeuroCeptor from Qu
Palliser Furniture,"Palliser Furniture is a furniture manufacturing company headquartered in Winnipeg, Manitoba, Canada.In 2018, Peter Tielmann was appointed President and CEO of Palliser Furniture.  Art DeFehr was then appointed Chairman."
Pan American Silver,"Pan American Silver Corporation is a mining company based in Canada with operations in Latin America. The company has mines and other projects in Mexico, Peru, Bolivia, and Argentina.
It is one of the world's biggest silver producers; in 2017 the company extracted 25 million ounces of Silver, 160,00"
Panago,"Panago is a Canadian pizza delivery and takeout chain with about 200 locations across six provinces. It is a franchise business with each location being franchisee-owned and operated. In 2015, Panago generated over 150 million dollars in sales."
Paramount Resources,"Paramount Resources Ltd. is a Canadian petroleum company, founded in 1976. The company is involved in the exploration, development, production, processing, transportation and marketing of natural gas and its byproducts and crude oil. The company was founded by Clay Riddell.In addition to its own nam"
Parmalat Canada,"Lactalis is a French multinational dairy products corporation, owned by the Besnier family and based in Laval, Mayenne, France. The company's former name was Besnier SA.Lactalis is the largest dairy products group in the world, and is the second largest food products group in France, behind Danone. "
Parrish & Heimbecker,"Parrish & Heimbecker Limited is a Canadian grain company with about 1,500 employees across Canada and the northern United States. The company has several divisions including flour milling, feed milling, grain marketing, transportation and logistics.
It is a private, family-owned business founded in "
